lemma,HasProperty,MotivatedByGoal,CapableOf,NotUsedFor,HasFirstSubevent,Desires,InstanceOf,DerivedFrom,HasSubevent,RelatedTo,CausesDesire,MadeOf,SymbolOf,PartOf,EtymologicallyDerivedFrom,UsedFor,AtLocation,Synonym,IsA,Causes,TranslationOf
獲勝,,踢足球,,,,,,,,,,,,,,,,,,"很快樂,得意,開心",
燦爛,,,,,,,,,,,,,,,,,,,,,
濫情,,,,,,,,,,,,,,,,,,,,,
濫用,,,,,,,,,,,,,,,,,,,,,
擊敗,,,,,,,,,,,,,,,,,,,,,
擊,,,,,,,,,,,,,,,,,,,,,
戲弄,,,,,,,,,,,,,,,,,,,,,
懨懨,,,,,,,,,,,,,,,,,,,,,
懦,,,,,,,,,,,,,,,,,,,,,
應付,,,,,,,,,,,,,,,,,,,,,
幫助,,"尋求,徬徨",,,,,,,朋友,,,,,,,,工會,,付出,好運,
幫忙,,,,,,,,,,,,,,,,,,,義氣,,
幫手,,,,,,,,,,,,,,,,,,,,,
尷尬,,"放屁,傻眼,被誤會",大笑,,,,,,"咳嗽,傻笑,害羞,笑",,"找洞鑽,逃避,大笑,裝傻",,,,,,,,,"臉紅,囧,不知所措,無言,裝傻,無語",
壓迫,,,,,,,,,,,,,,,,,,,,抽筋,
壓制,,,,,,,,,,,,,,,,,,,,,
壓抑,,殺人,,,,,,,,,,,,,,,,,,"心裡不正常,運動",
壓力,,,"壓迫,痛苦",,,,,,,,"自殺,大叫,哭",,,,,,大人,,,"失眠,想逃,生病,煩,長大,憂鬱,頭痛,想崩潰,睡不著,制服,哭泣,痛苦,睡眠不足,恐慌,想不開",
嚇壞,,,,,,,,,,,,,,,,,,,,,
嚇,,黑道大小姐,,,,,,,,,,,,,,,,,,,
優點,,,,,,,,,,,,,,,,,,,,,
優勢,,,,,,,,,,,,,,,,,,,,,
優雅,,,,,,,,,,,,,,,,,,,,,
優惠,,,,,,,,,,,,,,,,,,,,想去別家餐廳,
優勝,,,,,,,,,,,,,,,,,,,,,
優美,,,,,,,,,,,,,,,,,,,/c/en/place,,
優柔寡斷,"不好,令人討厭的,軟弱的,沒用,可愛,個性,討厭",,,,,,,,女生,,,,,,,,,,,,
優哉游哉,,,,,,,,,,,,,,,,,,,,,
優良,,,,,,,,,,,,,,,,,,,,,
優秀,,,,,,,,,,,,,,,,,,,,人緣,
優,,,,,,,,,,,,,,,,,,,,好,
償,,,,,,,,,,,,,,,,,,,,,
默默無言,,,,,,,,,,,,,,,,,,,,,
默默不語,,,,,,,,,,,,,,,,,,,,,
默然,,,,,,,,,,,,,,,,,,,,,
默哀,,,,,,,,,,,,,,,,,,,,,
默不作聲,,"思考,觀察,賭氣,忍耐,沉默是金,難過,冷戰,冷淨,嘲笑",,,,,,,,,,,,,,,,,,,
默,,,,,,,,,,,,,,,,,,,,,
黔驢技窮,,,,,,,,,,,,,,,,,,,,,
黔驢之技,,,,,,,,,,,,,,,,,,,,,
駭然,,,,,,,,,,,,,,,,,,,,,
駭異,,,,,,,,,,,,,,,,,,,,,
駭怪,,,,,,,,,,,,,,,,,,,,,
頹靡,,,,,,,,,,,,,,,,,,,,,
頹廢,,糟糕的思想,,,,,,,,,,,,,,,,,,"墮落,憂鬱,失敗,失望",
